video_path,label,class_name
sampled_frames/8/Dashboard_user_id_13522_NoAudio_5_11_31_clip_0_sec000.mp4,8,Adjust control panel
sampled_frames/8/Dashboard_user_id_13522_NoAudio_5_11_31_clip_0_sec001.mp4,8,Adjust control panel
sampled_frames/8/Dashboard_user_id_13522_NoAudio_5_11_31_clip_0_sec002.mp4,8,Adjust control panel
sampled_frames/8/Dashboard_user_id_13522_NoAudio_5_11_31_clip_0_sec003.mp4,8,Adjust control panel
sampled_frames/8/Dashboard_user_id_13522_NoAudio_5_11_31_clip_0_sec004.mp4,8,Adjust control panel
sampled_frames/12/Dashboard_user_id_13522_NoAudio_5_48_69_clip_1_sec000.mp4,12,Talk to passenger at backseat
sampled_frames/12/Dashboard_user_id_13522_NoAudio_5_48_69_clip_1_sec001.mp4,12,Talk to passenger at backseat
sampled_frames/12/Dashboard_user_id_13522_NoAudio_5_48_69_clip_1_sec002.mp4,12,Talk to passenger at backseat
sampled_frames/12/Dashboard_user_id_13522_NoAudio_5_48_69_clip_1_sec003.mp4,12,Talk to passenger at backseat
sampled_frames/12/Dashboard_user_id_13522_NoAudio_5_48_69_clip_1_sec004.mp4,12,Talk to passenger at backseat
sampled_frames/6/Dashboard_user_id_13522_NoAudio_5_85_108_clip_2_sec000.mp4,6,Text (Left)
sampled_frames/6/Dashboard_user_id_13522_NoAudio_5_85_108_clip_2_sec001.mp4,6,Text (Left)
sampled_frames/6/Dashboard_user_id_13522_NoAudio_5_85_108_clip_2_sec002.mp4,6,Text (Left)
sampled_frames/6/Dashboard_user_id_13522_NoAudio_5_85_108_clip_2_sec003.mp4,6,Text (Left)
sampled_frames/6/Dashboard_user_id_13522_NoAudio_5_85_108_clip_2_sec004.mp4,6,Text (Left)
sampled_frames/5/Dashboard_user_id_13522_NoAudio_5_126_144_clip_3_sec000.mp4,5,Text (Right)
sampled_frames/5/Dashboard_user_id_13522_NoAudio_5_126_144_clip_3_sec001.mp4,5,Text (Right)
sampled_frames/5/Dashboard_user_id_13522_NoAudio_5_126_144_clip_3_sec002.mp4,5,Text (Right)
sampled_frames/5/Dashboard_user_id_13522_NoAudio_5_126_144_clip_3_sec003.mp4,5,Text (Right)
sampled_frames/5/Dashboard_user_id_13522_NoAudio_5_126_144_clip_3_sec004.mp4,5,Text (Right)
sampled_frames/0/Dashboard_user_id_13522_NoAudio_5_159_181_clip_4_sec000.mp4,0,Normal Forward Driving
sampled_frames/0/Dashboard_user_id_13522_NoAudio_5_159_181_clip_4_sec001.mp4,0,Normal Forward Driving
sampled_frames/0/Dashboard_user_id_13522_NoAudio_5_159_181_clip_4_sec002.mp4,0,Normal Forward Driving
sampled_frames/0/Dashboard_user_id_13522_NoAudio_5_159_181_clip_4_sec003.mp4,0,Normal Forward Driving
sampled_frames/0/Dashboard_user_id_13522_NoAudio_5_159_181_clip_4_sec004.mp4,0,Normal Forward Driving
sampled_frames/1/Dashboard_user_id_13522_NoAudio_5_199_206_clip_5_sec000.mp4,1,Drinking
sampled_frames/1/Dashboard_user_id_13522_NoAudio_5_199_206_clip_5_sec001.mp4,1,Drinking
sampled_frames/1/Dashboard_user_id_13522_NoAudio_5_199_206_clip_5_sec002.mp4,1,Drinking
sampled_frames/1/Dashboard_user_id_13522_NoAudio_5_199_206_clip_5_sec003.mp4,1,Drinking
sampled_frames/1/Dashboard_user_id_13522_NoAudio_5_199_206_clip_5_sec004.mp4,1,Drinking
sampled_frames/13/Dashboard_user_id_13522_NoAudio_5_220_229_clip_6_sec000.mp4,13,yawning
sampled_frames/13/Dashboard_user_id_13522_NoAudio_5_220_229_clip_6_sec001.mp4,13,yawning
sampled_frames/13/Dashboard_user_id_13522_NoAudio_5_220_229_clip_6_sec002.mp4,13,yawning
sampled_frames/13/Dashboard_user_id_13522_NoAudio_5_220_229_clip_6_sec003.mp4,13,yawning
sampled_frames/13/Dashboard_user_id_13522_NoAudio_5_220_229_clip_6_sec004.mp4,13,yawning
sampled_frames/10/Dashboard_user_id_13522_NoAudio_5_259_263_clip_7_sec000.mp4,10,Pick up from floor (Passenger)
sampled_frames/10/Dashboard_user_id_13522_NoAudio_5_259_263_clip_7_sec001.mp4,10,Pick up from floor (Passenger)
sampled_frames/10/Dashboard_user_id_13522_NoAudio_5_259_263_clip_7_sec002.mp4,10,Pick up from floor (Passenger)
sampled_frames/10/Dashboard_user_id_13522_NoAudio_5_259_263_clip_7_sec003.mp4,10,Pick up from floor (Passenger)
sampled_frames/9/Dashboard_user_id_13522_NoAudio_5_278_285_clip_8_sec000.mp4,9,Pick up from floor (Driver)
sampled_frames/9/Dashboard_user_id_13522_NoAudio_5_278_285_clip_8_sec001.mp4,9,Pick up from floor (Driver)
sampled_frames/9/Dashboard_user_id_13522_NoAudio_5_278_285_clip_8_sec002.mp4,9,Pick up from floor (Driver)
sampled_frames/9/Dashboard_user_id_13522_NoAudio_5_278_285_clip_8_sec003.mp4,9,Pick up from floor (Driver)
sampled_frames/9/Dashboard_user_id_13522_NoAudio_5_278_285_clip_8_sec004.mp4,9,Pick up from floor (Driver)
sampled_frames/4/Dashboard_user_id_13522_NoAudio_5_298_311_clip_9_sec000.mp4,4,Eating
sampled_frames/4/Dashboard_user_id_13522_NoAudio_5_298_311_clip_9_sec001.mp4,4,Eating
sampled_frames/4/Dashboard_user_id_13522_NoAudio_5_298_311_clip_9_sec002.mp4,4,Eating
sampled_frames/4/Dashboard_user_id_13522_NoAudio_5_298_311_clip_9_sec003.mp4,4,Eating
sampled_frames/4/Dashboard_user_id_13522_NoAudio_5_298_311_clip_9_sec004.mp4,4,Eating
sampled_frames/2/Dashboard_user_id_13522_NoAudio_5_330_345_clip_10_sec000.mp4,2,Phone Call(right)
sampled_frames/2/Dashboard_user_id_13522_NoAudio_5_330_345_clip_10_sec001.mp4,2,Phone Call(right)
sampled_frames/2/Dashboard_user_id_13522_NoAudio_5_330_345_clip_10_sec002.mp4,2,Phone Call(right)
sampled_frames/2/Dashboard_user_id_13522_NoAudio_5_330_345_clip_10_sec003.mp4,2,Phone Call(right)
sampled_frames/2/Dashboard_user_id_13522_NoAudio_5_330_345_clip_10_sec004.mp4,2,Phone Call(right)
sampled_frames/3/Dashboard_user_id_13522_NoAudio_5_365_372_clip_11_sec000.mp4,3,Phone Call(left)
sampled_frames/3/Dashboard_user_id_13522_NoAudio_5_365_372_clip_11_sec001.mp4,3,Phone Call(left)
sampled_frames/3/Dashboard_user_id_13522_NoAudio_5_365_372_clip_11_sec002.mp4,3,Phone Call(left)
sampled_frames/3/Dashboard_user_id_13522_NoAudio_5_365_372_clip_11_sec003.mp4,3,Phone Call(left)
sampled_frames/3/Dashboard_user_id_13522_NoAudio_5_365_372_clip_11_sec004.mp4,3,Phone Call(left)
sampled_frames/7/Dashboard_user_id_13522_NoAudio_5_386_390_clip_12_sec000.mp4,7,Reaching behind
sampled_frames/7/Dashboard_user_id_13522_NoAudio_5_386_390_clip_12_sec001.mp4,7,Reaching behind
sampled_frames/7/Dashboard_user_id_13522_NoAudio_5_386_390_clip_12_sec002.mp4,7,Reaching behind
sampled_frames/7/Dashboard_user_id_13522_NoAudio_5_386_390_clip_12_sec003.mp4,7,Reaching behind
sampled_frames/11/Dashboard_user_id_13522_NoAudio_5_419_437_clip_13_sec000.mp4,11,Talk to passenger at the right
sampled_frames/11/Dashboard_user_id_13522_NoAudio_5_419_437_clip_13_sec001.mp4,11,Talk to passenger at the right
sampled_frames/11/Dashboard_user_id_13522_NoAudio_5_419_437_clip_13_sec002.mp4,11,Talk to passenger at the right
sampled_frames/11/Dashboard_user_id_13522_NoAudio_5_419_437_clip_13_sec003.mp4,11,Talk to passenger at the right
sampled_frames/11/Dashboard_user_id_13522_NoAudio_5_419_437_clip_13_sec004.mp4,11,Talk to passenger at the right
sampled_frames/15/Dashboard_user_id_13522_NoAudio_5_452_470_clip_14_sec000.mp4,15,Singing or dancing with music
sampled_frames/15/Dashboard_user_id_13522_NoAudio_5_452_470_clip_14_sec001.mp4,15,Singing or dancing with music
sampled_frames/15/Dashboard_user_id_13522_NoAudio_5_452_470_clip_14_sec002.mp4,15,Singing or dancing with music
sampled_frames/15/Dashboard_user_id_13522_NoAudio_5_452_470_clip_14_sec003.mp4,15,Singing or dancing with music
sampled_frames/15/Dashboard_user_id_13522_NoAudio_5_452_470_clip_14_sec004.mp4,15,Singing or dancing with music
